Model_display,Scenario_display,amb,Pathway,family,project,coverage_status,target_partition,raw_model,raw_scenario
REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-Good-Practice,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-NDC,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-NetZero,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Reduced-CDR-Cost-Effective,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Reduced-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-Cost-Effective,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-Good-Practice,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-NDC,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-NetZero,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Full-CDR-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-Cost-Effective,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-Good-Practice,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-NDC,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-NetZero,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-2°C-Reduced-CDR-NetZero
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP1-1.5°C-minCDR,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,CEMICS-SSP1-1.5°C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5°C-fullCDR,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5°C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5°C-minCDR,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5°C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0°C-fullCDR,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0°C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0°C-minCDR,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0°C-minCDR
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C,2C,High-RE,REMIND,NGFS Phase 2,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C [IPD 95th],2C,High-RE,REMIND,NGFS Phase 2,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C [IPD 95th]
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C [IPD Median],2C,High-RE,REMIND,NGFS Phase 2,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C [IPD Median]
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,2C,High-RE,REMIND,NGFS Phase 5,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C
WITCH 5.0,COMMIT-2°C-2020,2C,High-CDR,WITCH,COMMIT,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,COMMIT-2°C-2020
WITCH 5.0,COMMIT-2°C-2030,2C,High-CDR,WITCH,COMMIT,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,COMMIT-2°C-2030
WITCH 5.0,NAVIGATE Demand-1.5°C-ele_u,2C,High-RE,WITCH,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,NAVIGATE Demand-1.5°C-ele_u
WITCH 5.0,NAVIGATE Demand-1.5°C-ref,2C,High-RE,WITCH,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,NAVIGATE Demand-1.5°C-ref
WITCH 5.0,NAVIGATE Demand-2.0°C-ele_u,2C,High-RE,WITCH,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,NAVIGATE Demand-2.0°C-ele_u
WITCH 5.0,NAVIGATE Demand-2.0°C-ref,2C,High-RE,WITCH,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,WITCH 5.0,NAVIGATE Demand-2.0°C-ref
